Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
33:40.9,0.469662476,0.248902968,-0.259104825,-0.029334186,-0.684610307,-0.207838535,-0.028906748,-0.685177326,-0.20712471,-0.029239193,-0.685532272,-0.207090616,-0.060929656,-0.679125071,-0.200205803,-0.060572054,-0.680294752,-0.201053381,-0.060858022,-0.681563199,-0.200083494,0.037556563,-0.666029513,-0.111384153,-0.105062932,-0.647926152,-0.087090969,-0.006290376,-0.620516241,-0.190005541,-0.048752282,-0.613812089,-0.181798458,0.157599658,-0.500969946,-0.042848155,-0.163415194,-0.490004569,-0.012343884,0.324884653,-0.495702326,-0.127395272,1
33:41.7,0.468452704,0.246289337,-0.205302164,-0.021773061,-0.681188166,-0.180491686,-0.02139652,-0.681661308,-0.179765463,-0.021733396,-0.682069659,-0.179766417,-0.052991956,-0.674577832,-0.173216581,-0.052607235,-0.675727785,-0.173958063,-0.052962735,-0.676974595,-0.173052311,0.042358577,-0.663737833,-0.082777977,-0.099046931,-0.640960336,-0.060750484,0.003930129,-0.617369413,-0.162196636,-0.038285214,-0.609251201,-0.154778481,0.165122926,-0.498432368,-0.007855725,-0.153254107,-0.48676455,0.010010719,0.326266617,-0.489137053,-0.082937002,1
33:42.3,0.470688665,0.245569873,-0.161605439,-0.014493383,-0.700146139,-0.15735817,-0.014108015,-0.700613856,-0.156617403,-0.014471266,-0.70097816,-0.1566751,-0.045886889,-0.693596601,-0.154075623,-0.045510575,-0.694742143,-0.154774904,-0.045877058,-0.69596678,-0.153937101,0.039419211,-0.673864007,-0.051623583,-0.103553414,-0.650738537,-0.047593594,0.009310196,-0.633910775,-0.141289234,-0.033283375,-0.625681758,-0.139259338,0.156313732,-0.504788637,0.017416704,-0.163297296,-0.485524476,0.013830423,0.320134848,-0.505704284,-0.044122338,1
33:43.0,0.469638991,0.243678394,-0.137897252,-0.013552893,-0.708245039,-0.146175146,-0.013176572,-0.708718777,-0.145423651,-0.013526542,-0.709079683,-0.145503759,-0.044820551,-0.702201843,-0.142153025,-0.044441957,-0.703364491,-0.142828703,-0.044799618,-0.704586923,-0.141953707,0.043351918,-0.676200509,-0.041983366,-0.099582739,-0.655677557,-0.034252644,0.009156315,-0.640787303,-0.132823706,-0.033456959,-0.633307457,-0.129811525,0.157384217,-0.505206704,0.020748772,-0.161609679,-0.483683497,0.024246454,0.325502306,-0.521567762,-0.040789008,1
33:43.7,0.467379522,0.19078297,-0.092640534,-0.021871408,-0.712193131,-0.084104538,-0.021560939,-0.712862253,-0.083306551,-0.021852437,-0.713093221,-0.083362579,-0.052722547,-0.707864285,-0.075842619,-0.052364253,-0.709065497,-0.076477528,-0.052587323,-0.710328937,-0.075865746,0.046028361,-0.676073432,0.007862568,-0.097624503,-0.66252017,0.033274651,0.000952505,-0.642904162,-0.07702446,-0.041973077,-0.637865484,-0.069287539,0.159016564,-0.524582148,0.022434141,-0.165184304,-0.510230243,0.073479176,0.295030028,-0.650375724,-0.055044889,1
33:44.4,0.475436491,0.160579187,-0.282720754,-0.02591306,-0.707904994,-0.114897013,-0.025524631,-0.708546221,-0.114097118,-0.025669195,-0.708864808,-0.114054203,-0.058600057,-0.703970969,-0.1149261,-0.058157772,-0.7048949,-0.11568594,-0.058175664,-0.706165612,-0.115276814,0.024578525,-0.677537799,-0.004091024,-0.126716882,-0.66418153,-0.018844604,-0.006547746,-0.64157939,-0.103593588,-0.051253613,-0.636542439,-0.106880426,0.123841628,-0.537865818,0.005500142,-0.188163936,-0.516890645,-0.015584707,0.238739952,-0.720479608,-0.086094737,1
33:45.0,0.472811294,0.167314667,-0.231081593,-0.022049239,-0.718607843,-0.119482756,-0.021722332,-0.719199002,-0.118726015,-0.021898601,-0.719526112,-0.118732214,-0.054283746,-0.714305818,-0.116756916,-0.053928044,-0.715261698,-0.117504358,-0.05404219,-0.716505587,-0.117121696,0.036472667,-0.681725383,-0.013542414,-0.113188155,-0.666672051,-0.015031815,2.65E-05,-0.649789691,-0.11043191,-0.044500627,-0.644325197,-0.110185146,0.143458366,-0.537706614,-0.007081594,-0.171471879,-0.52052635,-0.006784916,0.266030997,-0.705747008,-0.099232435,1
33:45.7,0.478039694,0.19492259,-0.105723882,-0.000946246,-0.707978904,-0.083701134,-0.000598239,-0.70868063,-0.082934141,-0.000912054,-0.708906472,-0.082942963,-0.032590047,-0.705122828,-0.080126762,-0.032276139,-0.70623523,-0.080767632,-0.032504112,-0.707441688,-0.080193758,0.055784747,-0.668960154,0.020822048,-0.091759995,-0.660794199,0.024766922,0.014675631,-0.638372004,-0.075108767,-0.029408488,-0.634676695,-0.07378006,0.157272771,-0.512278676,0.047153518,-0.165739074,-0.504699647,0.058857203,0.302865237,-0.613332212,-0.024594784,1
33:46.4,0.478033704,0.262198201,-0.323854756,-0.002745095,-0.706864715,-0.195508957,-0.002276063,-0.707366049,-0.19475913,-0.002684688,-0.707751632,-0.194799662,-0.035297237,-0.70149374,-0.196367264,-0.034942571,-0.70251435,-0.197221518,-0.035254177,-0.703662395,-0.196476936,0.043499708,-0.675915062,-0.078561306,-0.104111977,-0.657087564,-0.094917774,0.017156845,-0.638554454,-0.178693771,-0.026320761,-0.631201565,-0.18223691,0.155833229,-0.479901284,-0.002005361,-0.16939199,-0.483555049,-0.0447402,0.309617102,-0.401563585,-0.094599962,1
33:47.1,0.477092844,0.265644702,-0.287551382,-0.001014496,-0.706610501,-0.188921928,-0.000547488,-0.707147241,-0.188195229,-0.000958662,-0.707537115,-0.188195467,-0.033155978,-0.700798094,-0.188198566,-0.032816041,-0.701841116,-0.189045429,-0.033083286,-0.703023553,-0.188162088,0.048404727,-0.679787695,-0.076135874,-0.097204536,-0.659047782,-0.08453083,0.020359617,-0.639469981,-0.171252251,-0.022724647,-0.631628752,-0.172391891,0.160669461,-0.488997549,-0.001108151,-0.160011947,-0.486265093,-0.023383617,0.309769809,-0.408619881,-0.082733989,1
