Time,Point1.x,Point1.y,Point1.z,Point2.x,Point2.y,Point2.z,Point3.x,Point3.y,Point3.z,Point4.x,Point4.y,Point4.z,Point5.x,Point5.y,Point5.z,Point6.x,Point6.y,Point6.z,Point7.x,Point7.y,Point7.z,Point8.x,Point8.y,Point8.z,Point9.x,Point9.y,Point9.z,Point10.x,Point10.y,Point10.z,Point11.x,Point11.y,Point11.z,Point12.x,Point12.y,Point12.z,Point13.x,Point13.y,Point13.z,Point14.x,Point14.y,Point14.z,label
44:35.3,0.436064935,0.717366791,0.084462677,-0.551914573,-0.12307331,-0.026948452,-0.552050889,-0.123583831,-0.026052237,-0.552646101,-0.122647598,-0.026148796,-0.54932487,-0.123834245,0.003849268,-0.550014496,-0.124462597,0.002989054,-0.551410019,-0.124621212,0.003664494,-0.516017139,-0.199424937,-0.075805664,-0.517178535,-0.208919033,0.048734665,-0.483425677,-0.136499554,-0.016354799,-0.481884241,-0.138257429,0.020456314,-0.393087834,-0.168340579,-0.134508073,-0.351276696,-0.202564254,0.145598888,-0.501963675,0.042134363,-0.108154178,1
44:36.0,0.43630842,0.722640026,0.089430934,-0.545867145,-0.123986624,-0.020150661,-0.545951903,-0.124485545,-0.019254446,-0.546605706,-0.123592794,-0.019295931,-0.542926073,-0.123821959,0.009918451,-0.54358393,-0.124499835,0.009104967,-0.544948518,-0.124631137,0.009701252,-0.514223337,-0.201830342,-0.067549944,-0.514272213,-0.20745194,0.053736687,-0.477404147,-0.138825387,-0.009746552,-0.475542903,-0.139576152,0.025937557,-0.389785767,-0.175255492,-0.129459754,-0.351444274,-0.199833721,0.146936417,-0.49405238,0.047194462,-0.100870013,1
44:36.7,0.447305351,0.576828051,0.083083025,-0.577176213,0.095036417,0.046617985,-0.577690661,0.094817221,0.047346115,-0.577989399,0.095665887,0.047653198,-0.580040276,0.093321711,0.077526569,-0.580938339,0.092715435,0.076645851,-0.582158089,0.093388274,0.077176094,-0.539996684,0.013737523,-0.000856638,-0.567557693,0.013719594,0.126395226,-0.520466089,0.063721642,0.051939487,-0.525973022,0.063938916,0.088649035,-0.414248884,0.014549629,-0.092424944,-0.418581724,0.031593576,0.207142591,-0.380202234,0.293659985,-0.080049753,1
44:37.3,0.485277885,0.317182615,0.220418838,-0.201390147,-0.60130626,0.065826654,-0.201039568,-0.60163933,0.06654954,-0.20167014,-0.602134883,0.066460371,-0.192256764,-0.60407114,0.097397804,-0.191827998,-0.60523057,0.097229481,-0.192847729,-0.606382549,0.097718477,-0.118773565,-0.607200086,-0.002859354,-0.094944909,-0.632104993,0.127033234,-0.155847877,-0.557521462,0.073970556,-0.148870423,-0.562226951,0.110816717,-0.078497306,-0.491762966,-0.084974818,-0.001418148,-0.469200075,0.204323292,-0.227960333,-0.379346251,-0.06482327,1
44:38.1,0.476358449,0.271403682,0.208705553,-0.142458797,-0.627249897,0.029747486,-0.142076701,-0.627786219,0.030315876,-0.142696679,-0.62818408,0.030616045,-0.135562062,-0.631521344,0.060944796,-0.135094017,-0.632688701,0.060768843,-0.136005029,-0.633964777,0.061373472,-0.056191411,-0.622039616,-0.033098936,-0.039769605,-0.651486456,0.097727776,-0.103483796,-0.577691555,0.040277719,-0.098526642,-0.583692133,0.077618361,-0.032472387,-0.489266396,-0.109652199,0.031426892,-0.497402221,0.188047171,-0.249801934,-0.401280642,-0.049698949,1
44:38.8,0.450997597,0.338195881,0.228611748,-0.348833561,-0.613880455,0.033169985,-0.348673999,-0.614416182,0.03403616,-0.349445194,-0.614553869,0.03420639,-0.343851805,-0.619961262,0.067863941,-0.343750238,-0.621053338,0.067541122,-0.344990104,-0.621964037,0.067931175,-0.250637382,-0.572950006,-0.02540946,-0.245636865,-0.606117189,0.112965107,-0.321849048,-0.557587624,0.040005445,-0.319773763,-0.565261126,0.079856873,-0.208114117,-0.41340059,-0.102031343,-0.179071158,-0.440620244,0.221835852,-0.358242035,-0.229038164,-0.044993043,1
44:39.5,0.429919434,0.632400382,0.080228073,-0.536150217,-0.382109821,-0.039884329,-0.536110699,-0.382654786,-0.038691759,-0.536856949,-0.381980777,-0.038715124,-0.534340024,-0.384962171,-0.002069235,-0.534823239,-0.385512412,-0.002891541,-0.535930157,-0.386043966,-0.002273321,-0.423632175,-0.379236519,-0.093164921,-0.423847586,-0.398643643,0.050733089,-0.494892806,-0.333225876,-0.030979633,-0.493643463,-0.33753404,0.011004686,-0.329247862,-0.211803839,-0.161344364,-0.294586897,-0.24866946,0.144649029,-0.514065206,0.031648785,-0.100745201,1
44:40.3,0.435375667,0.486773801,0.166478727,-0.526239872,-0.341240466,0.010112762,-0.526237547,-0.341629058,0.011158705,-0.527090609,-0.341150433,0.011372566,-0.528964579,-0.344126046,0.044266462,-0.529537141,-0.345014483,0.043599129,-0.530714035,-0.345295668,0.044146538,-0.431769371,-0.36521405,-0.040053844,-0.452873349,-0.383882165,0.094414711,-0.469814867,-0.312702119,0.015275478,-0.474933475,-0.317185491,0.053154469,-0.303008854,-0.270297796,-0.122052237,-0.333268285,-0.23483856,0.178196669,-0.476240307,-0.039164733,-0.07277894,1
44:40.9,0.493832648,0.325810552,0.102964805,-0.155122817,-0.674238443,-0.028056622,-0.154699087,-0.674785376,-0.027459145,-0.155207485,-0.675265968,-0.027425289,-0.151529878,-0.676969647,0.006445646,-0.15106295,-0.678173184,0.006279945,-0.151816264,-0.67946279,0.006889343,-0.058816217,-0.652031541,-0.084510803,-0.054419182,-0.676691532,0.056694984,-0.128619343,-0.61951679,-0.015844345,-0.127088264,-0.624381483,0.025028229,-0.037112668,-0.496220499,-0.166834027,0.00493382,-0.497295856,0.156092882,-0.151020288,-0.352684975,-0.165814877,1
44:41.6,0.456191301,0.340596053,0.166354381,-0.315562308,-0.632120311,0.03123045,-0.315439731,-0.632586837,0.032104254,-0.316079319,-0.63275224,0.032265425,-0.312645704,-0.638420403,0.066411018,-0.31251815,-0.639480174,0.065963745,-0.313636661,-0.640432358,0.066378117,-0.214747414,-0.579636157,-0.021789789,-0.21671316,-0.615513682,0.118812084,-0.296563089,-0.571511924,0.036618471,-0.296041578,-0.580135763,0.07743001,-0.177649438,-0.418236166,-0.088811792,-0.17766057,-0.427234292,0.216379881,-0.325099498,-0.24479486,-0.026595116,1
